2352-9520 , 12 , 0 , 0 , nan , 0
2450-7873 , 35 , 0 , 0 , nan , 0
2450-9930 , 35 , 0 , 0 , nan , 0
1517-7017 , 66 , 9 , 0 , 0.0 , 0
2508-2558 , 141 , 100 , 9 , 0.09 , 2
2508-4887 , 24 , 0 , 0 , nan , 0
2508-4895 , 24 , 0 , 0 , nan , 0
2477-5460 , 8 , 0 , 0 , nan , 0
2528-5106 , 8 , 0 , 0 , nan , 0
2539-4150 , 1 , 0 , 0 , nan , 0
2503-4219 , 21 , 0 , 0 , nan , 0
2503-4227 , 21 , 0 , 0 , nan , 0
2336-064X , 82 , 63 , 0 , 0.0 , 0
2297-6620 , 25 , 0 , 0 , nan , 0
0973-7510 , 189 , 0 , 0 , nan , 0
2475-5540 , 83 , 8 , 1 , 0.13 , 1
1343-2583 , 420 , 116 , 21 , 0.18 , 2
1881-2562 , 282 , 116 , 21 , 0.18 , 2
2477-698X , 21 , 8 , 0 , 0.0 , 0
0029-800X , 43 , 0 , 0 , nan , 0
0974-8466 , 1098 , 438 , 0 , 0.0 , 0
0975-5691 , 1098 , 438 , 0 , 0.0 , 0
2367-3567 , 7 , 0 , 0 , nan , 0
2367-3575 , 7 , 0 , 0 , nan , 0
1578-908X , 288 , 112 , 21 , 0.19 , 2
2088-9860 , 91 , 72 , 6 , 0.08 , 1
2020-0064 , 0 , 0 , 0 , nan , 0
2020-0498 , 0 , 0 , 0 , nan , 0
1527-6805 , 77 , 0 , 0 , nan , 0
1057-4514 , 42 , 0 , 0 , nan , 0
0036-147X , 32 , 0 , 0 , nan , 0
0163-576X , 116 , 0 , 0 , nan , 0
0163-5816 , 34 , 0 , 0 , nan , 0
2168-8516 , 70 , 70 , 1 , 0.01 , 1
1946-6226 , 207 , 127 , 475 , 3.74 , 12
2167-8375 , 122 , 80 , 207 , 2.59 , 6
2157-6904 , 491 , 365 , 9879 , 27.07 , 23
2160-6455 , 167 , 124 , 533 , 4.3 , 12
2158-656X , 154 , 123 , 472 , 3.84 , 11
1559-1131 , 253 , 129 , 889 , 6.89 , 11
1980-7686 , 184 , 62 , 1 , 0.02 , 1
2171-7788 , 9 , 8 , 0 , 0.0 , 0
1529-7853 , 148 , 0 , 0 , nan , 0
2224-0551 , 237 , 0 , 0 , nan , 0
2307-1168 , 237 , 0 , 0 , nan , 0
1828-454X , 211 , 87 , 15 , 0.17 , 1
0351-2851 , 68 , 38 , 9 , 0.24 , 2
0365-0588 , 206 , 146 , 122 , 0.84 , 4
1337-978X , 144 , 113 , 55 , 0.49 , 3
1407-981X , 130 , 76 , 5 , 0.07 , 1
1678-2674 , 1 , 0 , 0 , nan , 0
2300-3022 , 193 , 158 , 37 , 0.23 , 2
2304-3865 , 96 , 0 , 0 , nan , 0
2304-3873 , 96 , 0 , 0 , nan , 0
0577-9073 , 275 , 0 , 0 , nan , 0
0884-4496 , 80 , 0 , 0 , nan , 0
2308-6122 , 293 , 91 , 10 , 0.11 , 2
2248-468X , 1 , 0 , 0 , nan , 0
0103-5703 , 60 , 0 , 0 , nan , 0
2447-9799 , 60 , 0 , 0 , nan , 0
1909-230X , 51 , 10 , 0 , 0.0 , 0
2389-7481 , 51 , 10 , 0 , 0.0 , 0
2093-9965 , 47 , 0 , 0 , nan , 0
2444-0507 , 246 , 104 , 0 , 0.0 , 0
2057-4991 , 15 , 0 , 0 , nan , 0
2464-3726 , 3 , 0 , 0 , nan , 0
2002-3294 , 5 , 0 , 0 , nan , 0
2453-7128 , 18 , 0 , 0 , nan , 0
2459-1459 , 61 , 0 , 0 , nan , 0
2468-5674 , 23 , 0 , 0 , nan , 0
2311-9624 , 69 , 16 , 0 , 0.0 , 0
2415-3036 , 53 , 0 , 0 , nan , 0
2467-981X , 37 , 0 , 0 , nan , 0
1997-6933 , 89 , 11 , 0 , 0.0 , 0
2500-2139 , 89 , 11 , 0 , 0.0 , 0
2311-7729 , 63 , 0 , 0 , nan , 0
2405-8645 , 21 , 0 , 0 , nan , 0
2465-7786 , 25 , 0 , 0 , nan , 0
2465-7794 , 25 , 0 , 0 , nan , 0
1909-941X , 43 , 27 , 0 , 0.0 , 0
2389-7848 , 43 , 27 , 0 , 0.0 , 0
2414-9047 , 42 , 6 , 4 , 0.67 , 1
2369-6923 , 39 , 0 , 0 , nan , 0
2369-6931 , 39 , 0 , 0 , nan , 0
2081-7029 , 11 , 10 , 0 , 0.0 , 0
2160-5211 , 27 , 18 , 2 , 0.11 , 1
2382-4018 , 40 , 24 , 0 , 0.0 , 0
2145-0684 , 17 , 10 , 0 , 0.0 , 0
2145-9649 , 18 , 10 , 0 , 0.0 , 0
2245-5744 , 30 , 30 , 3 , 0.1 , 1
2409-7071 , 53 , 44 , 0 , 0.0 , 0
2204-1451 , 108 , 38 , 39 , 1.03 , 3
2206-3374 , 108 , 38 , 39 , 1.03 , 3
2214-8590 , 21 , 21 , 45 , 2.14 , 4
2214-594X , 83 , 51 , 93 , 1.82 , 4
1588-9645 , 343 , 107 , 0 , 0.0 , 0
2356-9697 , 52 , 35 , 0 , 0.0 , 0
2469-9322 , 53 , 0 , 0 , nan , 0
1983-9030 , 93 , 63 , 5 , 0.08 , 1
1982-176X , 87 , 21 , 0 , 0.0 , 0
2176-0144 , 87 , 21 , 0 , 0.0 , 0
2164-4543 , 34 , 16 , 4 , 0.25 , 1
2164-4551 , 34 , 16 , 4 , 0.25 , 1
2237-8049 , 21 , 0 , 0 , nan , 0
2051-1434 , 288 , 158 , 1089 , 6.89 , 15
1984-3925 , 29 , 0 , 0 , nan , 0
2058-1831 , 30 , 0 , 0 , nan , 0
2058-184X , 30 , 0 , 0 , nan , 0
2423-7574 , 9 , 5 , 0 , 0.0 , 0
1978-3728 , 514 , 220 , 1 , 0.0 , 1
2442-9740 , 514 , 220 , 1 , 0.0 , 1
1865-7192 , 75 , 51 , 2 , 0.04 , 1
2196-1395 , 75 , 51 , 2 , 0.04 , 1
2359-3652 , 140 , 59 , 0 , 0.0 , 0
2076-2674 , 159 , 83 , 0 , 0.0 , 0
2415-0959 , 159 , 83 , 0 , 0.0 , 0
1302-9304 , 116 , 0 , 0 , nan , 0
2220-9506 , 49 , 0 , 0 , nan , 0
2414-0473 , 49 , 0 , 0 , nan , 0
1021-2787 , 116 , 105 , 22 , 0.21 , 2
2408-8501 , 11 , 0 , 0 , nan , 0
0006-5471 , 20 , 0 , 0 , nan , 0
1027-4065 , 59 , 0 , 0 , nan , 0
2500-2228 , 59 , 0 , 0 , nan , 0
1835-517X , 1094 , 520 , 1095 , 2.11 , 12
1821-3138 , 86 , 57 , 0 , 0.0 , 0
1821-4827 , 106 , 57 , 0 , 0.0 , 0
2315-6422 , 7 , 0 , 0 , nan , 0
1693-7740 , 27 , 0 , 0 , nan , 0
2477-0361 , 27 , 0 , 0 , nan , 0
